,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
210,4,2,4,1,5,2,1,3,4,2,1,1,1,1,2,3,5,4,1,4,5,4,4,1,1,1,5,5,41,4,4,4,3,1,1,5,3,5,4,3,1,4,2,2
211,2,1,3,1,5,2,1,4,5,3,1,2,1,1,1,4,5,6,1,5,5,6,5,1,1,1,5,4,40,5,6,5,2,1,1,4,2,5,4,3,1,2,1,1
212,1,2,4,1,5,1,1,5,5,4,1,1,2,1,2,5,5,5,1,5,6,1,5,1,1,1,5,5,40,5,5,5,6,2,1,6,5,5,6,4,1,1,1,1
213,3,2,4,1,4,1,1,4,5,3,1,2,2,1,2,4,4,6,1,4,4,5,3,1,1,1,4,5,53,5,6,5,3,1,1,5,5,4,5,3,1,3,2,2
214,3,1,1,1,5,3,1,2,2,2,1,1,1,1,1,2,4,4,1,2,5,2,2,1,1,1,5,3,40,2,5,2,2,1,1,5,2,4,4,4,1,5,2,4
215,2,1,3,1,4,2,1,2,3,2,1,2,2,1,1,2,3,3,1,2,5,2,2,1,1,1,4,3,32,3,3,3,2,1,1,4,2,4,4,2,1,4,1,2
216,2,2,2,1,4,3,1,3,3,2,1,2,1,1,1,3,4,4,1,3,4,2,3,1,1,1,3,3,25,3,3,3,2,1,1,4,3,4,4,4,1,3,1,2
217,3,2,4,1,5,2,1,2,4,1,1,1,2,1,2,3,5,5,1,3,5,3,3,1,1,1,4,3,32,3,4,3,3,1,1,5,3,6,4,4,1,4,1,4
218,2,2,4,1,4,2,1,4,2,2,1,2,2,1,2,3,4,4,1,4,5,5,4,1,1,1,4,4,42,4,4,4,5,2,1,4,5,4,2,4,1,3,1,2
219,3,2,3,1,4,3,1,3,3,3,1,1,1,1,2,3,4,4,1,3,6,2,4,1,1,1,5,4,35,3,3,4,3,2,1,6,3,5,6,4,1,5,2,4
220,1,2,4,1,4,2,1,4,4,3,1,1,2,1,2,3,5,6,1,4,5,4,3,1,1,1,4,4,37,4,5,4,4,1,1,4,4,5,4,3,1,3,1,2
221,4,2,4,1,5,2,1,2,4,2,1,2,2,1,2,5,4,4,1,3,4,2,3,1,1,1,5,3,35,4,4,4,1,2,1,4,4,4,4,3,1,2,2,2
222,3,1,4,1,5,2,1,4,4,2,1,2,2,1,2,4,5,5,1,5,5,5,5,1,1,1,5,4,36,4,6,5,1,1,1,4,4,5,4,3,1,5,2,2
223,5,2,4,1,6,3,1,2,5,2,1,2,1,1,1,3,6,5,1,3,3,3,3,1,1,1,6,5,35,5,6,3,2,1,1,2,5,6,2,2,1,3,2,2
224,4,1,2,1,6,2,1,4,5,2,1,2,2,1,2,4,5,4,1,4,6,3,2,1,1,1,5,6,45,6,5,4,1,1,1,6,4,6,4,3,1,2,1,3
225,2,2,4,1,3,2,1,2,1,1,1,1,3,1,1,1,2,3,1,4,6,2,4,1,1,1,3,4,28,3,3,2,2,2,1,6,3,3,5,4,1,4,4,4
226,2,2,4,1,4,3,1,3,3,2,1,1,2,1,1,2,3,3,1,3,3,3,3,1,1,1,4,3,29,2,4,3,4,1,1,4,3,4,3,2,4,4,4,4
227,3,2,2,1,6,3,1,3,3,2,1,1,2,1,2,3,5,5,1,4,5,3,3,1,1,1,6,4,39,3,4,4,3,1,1,5,3,6,4,4,1,3,2,2
228,2,2,2,1,5,3,1,2,3,3,1,2,2,1,1,3,4,5,1,4,3,1,3,1,1,1,4,4,27,4,5,4,2,1,1,4,4,5,5,2,1,3,1,2
229,3,1,1,1,5,3,1,4,3,3,1,1,2,1,1,3,4,4,1,4,6,3,4,1,1,1,5,4,46,3,3,4,3,1,1,4,4,5,3,2,1,2,2,2
230,5,2,4,1,5,2,1,4,5,1,1,1,3,1,1,4,5,5,1,4,6,4,5,1,1,1,5,5,48,5,5,4,4,1,1,4,4,5,4,4,1,3,1,3
231,2,2,4,1,4,3,1,4,3,2,1,1,3,1,2,4,4,4,1,4,4,4,4,1,1,1,4,5,53,3,4,4,5,2,1,1,4,4,4,4,1,4,1,3
232,4,2,3,1,5,3,1,3,4,2,1,1,3,1,1,3,5,4,1,2,4,5,2,1,1,1,5,5,36,4,4,4,2,2,1,4,3,5,3,2,1,2,1,1
233,3,2,4,1,6,3,1,3,6,1,1,1,4,1,2,2,6,6,1,6,5,6,3,1,1,1,6,5,27,6,6,5,3,1,1,5,2,6,4,3,1,3,1,3
